,series_title,primary_work_count,series_work_count,series_description,link
608,Vin Cooper,7,7,Vin Cooper is a Special Agent in the Air Force Office of Special Investigations (OSI).,https://www.goodreads.com/series/45395-vin-cooper
609,Abyssal Sanctuary,2,2,"There has always been something wrong with the sinister and secluded town of Lakefield View. Within Lakefield View reside five young employees of a picturesque cafe - Justin Rutherford, Tiffany Hawkins, Eric Watson, Christina Mayer and Carmen Stevens. Each character has to deal with the horrors of what lurks within the shadows, be it Rippers, Ghosts, Witches, Psychopaths, Cannibals, Killers; the list is endless. The only thing worse than being alone in the dark, is finding out you're not.",https://www.goodreads.com/series/119942-abyssal-sanctuary
610,Missing Pieces Mystery,7,7,The Missing Pieces mysteries feature Duck (North Carolina) mayor Dae O'Donnell.,https://www.goodreads.com/en/book/show/25785334
611,Alex Jensen & Jessie Arnold,13,13,Jessie Arnold is a dog sled racer. The series is set in Alaska.,https://www.goodreads.com/series/40987-jessie-arnold-alex-jensen
612,Matthew Corbett,6,8,"Historical fiction mystery series about a young, professional ""problem-solver"" in the American colonies at the turn of the 18th century. http://www.matthewcorbettsworld.com/",https://www.goodreads.com/series/49541-matthew-corbett
613,Tom Clancy's Ghost Recon,3,3,The U.S. Army's Special Forces are known for their highly specialized training and courage behind enemy lines. But there's a group that's even more stealthy and deadly. It's composed of the most feared operators on the face of the earth-the soldiers of Ghost Recon.,https://www.goodreads.com/series/59841-tom-clancy-s-ghost-recon
614,Ben Kamal and Danielle Barnea,7,7,"Ben Kamal, a member of the new Palestinian police force on the West Bank, and Danielle Barnea, a Shin Bet (Israel's FBI) agent in Israel:",https://www.goodreads.com/series/82548-ben-kamal-and-danielle-barnea
615,Michael Bennett,10,12,Michael Bennett is a detective with the New York Police Department.,https://www.goodreads.com/series/51312-michael-bennett
616,Posadas County Mystery,12,12,"This series focuses on Undersheriff Estella Reyes-Guzman, after Bill Gastner's retirement.",https://www.goodreads.com/series/50551-posadas-county-mystery
617,Grant County,6,8,"Set in the fictional town of Heartsdale, Georgia, (in the fictional Grant County) the narrative takes place from the perspective of three main characters: Sara Linton, the town's pediatrician and part-time coroner; her ex-husband to whom she is remarried, Jeffrey Tolliver, who is chief of police; and his subordinate, detective Lena Adams, Slaughter's most controversial character.",https://www.goodreads.com/series/43676-grant-county
618,Rizzoli & Isles,12,20,Jane Rizzoli is a detective and Maura Isles is a medical examiner with the Boston Police Department.,https://www.goodreads.com/series/41620-rizzoli-isles
619,Charlie Fox,12,21,"Charlotte 'Charlie' Fox has been described as a female version of Lee Child's Jack Reacher. Like Reacher, Charlie's background is military. She was a first-class shot who was selected for Special Forces training, but that's where it all went horribly wrong. Chucked out of the army in disgrace, Charlie drifts through a variety of jobs in the early books, including teaching self-defence, then a chance meeting with Sean Meyer, her old army training instructor (and a big part of the reason she was thrown out of the army in the first place) changes her life yet again. Introduced into the world of professional close protection, Charlie embarks on a new career as a bodyguard, one that is perfectly suited to someone with her lethal abilities. Whatever the doubts of her family - or her own misgivings - she embraces her new life, even moving to the States to join a prestigious NYC close-protection agency run by Parker Armstrong. But life is never simple for Charlie - either professionally or in her relationship with Sean. She will be faced with danger from all sides, both connected to the clients she's sworn to protect with her life, and on a much more personal level.",https://www.goodreads.com/series/50734-charlie-fox-thriller
620,Joona Linna,6,8,"This series concerns the investigations of the police inspector Joona Linna. 1. Hypnotisoren, 2009 / The Hypnotist, 2009 [En] / L'Hypnotiseur, 2010 [Fr] 2. Paganinikontraktet, 2010 / The Nightmare, 2010 [En] / Le Pacte, 2011 [Fr] 3. Eldvittnet, 2011 / The Fire Witness, 2011 [En] / Incurables, 2013 [Fr] 4. Sandmannen, 2012 / The Sandman, 2012 [En] / Le Marchand de sable, 2014 [Fr] 5. Stalker, 2014 / Stalker, 2014 [En] / Desaxe, 2016 [Fr] 6. Kaninjagaren, 2016 / The Rabbit Hunter, 2016 [En]",https://www.goodreads.com/series/63776-joona-linna
621,Melanie Travis,21,22,A Christmas Howl(#18.5) is a non-mystery short-story prequel to the series. Peg and Max are the main characters. Melanie is college-aged.,https://www.goodreads.com/series/40757-melanie-travis
622,Pollard & Toye,17,17,"Tom Pollard and Gregory Toye, Scotland Yard detectives, in London, England:",https://www.goodreads.com/series/67661-pollard-toye
623,Mac McKenzie,14,14,"Rushmore (Mac) McKenzie, a former St. Paul cop who becomes a smart-talking and unlicensed private investigator, in St. Paul, Minnesota:",https://www.goodreads.com/series/82272-mac-mckenzie
624,Life On Victoria Square,3,3,Short story companion series to the Victoria Square Mysteries.,https://www.goodreads.com/series/210189-life-on-victoria-square
625,Mike Daley/Rosie Fernandez Mystery,8,9,"Attorney Mike Daley is an ex-priest, ex-public defender, and ex-partner of a prominent San Francisco law firm.",https://www.goodreads.com/series/50319-mike-daley-rosie-fernandez-mystery
626,The Cats and Curios Mystery,6,6,The Cats and Curios mysteries feature cats Rupert and Isabella.,https://www.goodreads.com/series/47810-the-cats-and-curios-mystery
627,Jessica Balzano & Kevin Byrne,10,13,Kevin Byrne and Jessica Balzano are police officers in Philadelphia.,https://www.goodreads.com/series/53497-jessica-balzano-kevin-byrne
628,Lottie Albright,3,3,Lottie Albright is a western Kansas historian and part- sheriff's deputy.,https://www.goodreads.com/series/95231-lottie-albright
629,A Vintage Magic Mystery,6,6,"Madeira Cutler, proprietor of a vintage clothing store in a former morgue in Mystick Falls, Connecticut, in the Vintage Magic mysteries:",https://www.goodreads.com/series/45905-a-vintage-magic-mystery
630,Lonnie Squires Mystery,3,4,Lonnie Squires is an Episcopal priest in Western Michigan.,https://www.goodreads.com/series/75448-lonnie-squires-mystery
631,A Candy Holliday Mystery,8,8,Candy Holliday is a farmer in a seaside village in Maine.,https://www.goodreads.com/series/52211-a-candy-holliday-mystery
632,Covert-One,12,12,"In this thriller series created by Robert Ludlum, Covert-One is a top-secret agency. Political and technical experts seek out conspiracy and corruption at society's highest and most dangerous levels. http://us.macmillan.com/series/CovertOne http://robert-ludlum.com/books-2/",https://www.goodreads.com/series/40634-covert-one
633,Roderick Alleyn,32,46,"English detective series, written from the 1930s to the 1970s.",https://www.goodreads.com/series/50710-roderick-alleyn
634,Michele Ferrara,6,6,"Italian crime fiction series, written by Michele Giuttari, featuring Chief Superintendent Michele Ferrara of the Florence police force.",https://www.goodreads.com/series/121810-michele-ferrara
635,Carson Ryder,13,16,"Carson Ryder and Harry Nautilus, police detectives in Mobile, Alabama:",https://www.goodreads.com/series/61658-carson-ryder
636,Mack Bolan the Executioner,413,413,"Don Pendleton is the creator of the original The Executioner: Mack Bolan books. Book One is War Agains the Mafia. Don Pendleton wrote 38 books and beginning with book 39, the books have been written by other authors under the Harlequin Gold Eagle publishing Program, including the spin-off of Don Pendleton original characters: Don Pendleton's Phoenix Force; Don Pendleton's Able Team; Don Pendleton's Mack Bolan; Don Pendleton's Stony Man, in addition to Don Pendleton's The Exectutioner. Don Pendleton is included as Series Creator. More information available at http://www.mackbolan.com/bookindex.php3?series=ex and more on the original series at http://www.donpendleton.com",https://www.goodreads.com/series/40641-mack-bolan-the-executioner
637,DI Joe Faraday,12,12,"Joe Faraday is the D.I. of the Portsmouth CID squad. He's a middle-aged long-time cop, who raised his deaf son after his wife's untimely death of cancer. Trapped by bureaucratic paperwork, unreasonable expectations, too many crimes and far too few resources, Faraday struggles between damage control and justice.",https://www.goodreads.com/series/68014-di-joe-faraday
638,Garrison Gage,5,6,"A curmudgeon. An iconoclast. A loner. That's how people describe Garrison Gage, and that's when they're being charitable. After his wife's brutal murder in New York, and Gage himself is beaten nearly to death, the crippled misanthrope retreats three thousand miles to the quaint coastal town of Barnacle Bluffs, Oregon.",https://www.goodreads.com/series/150227-garrison-gage
639,DCI Daley,5,11,"Jim Daley, a detective chief inspector, in Edinburgh, Scotland:",https://www.goodreads.com/series/161572-dci-daley
640,Le Sang de la vigne,23,23,Series as numbered in French original. See: http://fr.wikipedia.org/wiki/Jean-Pierre_Alaux_%28%C3%A9crivain%29,https://www.goodreads.com/series/104112-le-sang-de-la-vigne
641,Heather Wells,5,7,"Heather Wells used to be a teen pop sensation...until her label dropped her for gaining a few extra pounds. Now Heather's walked out on her famous ex, moved in with his brother (but will things stay platonic with Cooper forever?), and found a job in a freshman dorm at New York College...who knew it was nicknamed Death Dorm? The series title in U.K. is ""Size Doesn't Matter"" and in U.S. it's ""Heather Wells Mysteries"".",https://www.goodreads.com/series/43947-heather-wells
642,Brainrush,7,9,Book series by Richard Bard Includes the Everlast Duology,https://www.goodreads.com/series/77558-brainrush
643,Verlaque and Bonnet,7,7,"Antoine Verlaque, the chief magistrate of Aix, and his love interest, law professor Marine Bonnet, in Aix-en-Provence, France.",https://www.goodreads.com/series/82290-verlaque-and-bonnet
644,Mystery and the Minister's Wife,26,26,"Escape to the charming town of Copper Mill, Tennesse. Nestled in the foothills of the Great Smoky Mountains, Copper Mill is a place of tradition and tranquility. But when Kate Hanlon and her husband Paul move in, they find out the small-town life is anything but boring. The mysteries Kate uncovers are puzzling,, but she always uses her quick mind and the help of her dear friends to figure out the answers. See faith can solve life's mysteries in Mystery and the Minister's Wife.",https://www.goodreads.com/series/90844-mystery-and-the-minister-s-wife
645,Nina Fischman,6,6,"Nina Fischman, a public service lawyer for the elderly in New York City:",https://www.goodreads.com/series/103604-nina-fischman
646,Mrs. Murphy,26,29,"Mary Minor Haristeen, a postmistress and her cat, Mrs. Murphy, in Crozet, Virginia:",https://www.goodreads.com/series/41273-mrs-murphy
647,A Gray Whale Inn Mystery,9,10,"Welcome to the world of Natalie Barnes, proprietor of the Gray Whale Inn. This Agatha-nominated series takes place on quaint Cranberry Island, off the coast of Maine; each book contains several delicious recipes you can make at home.",https://www.goodreads.com/series/43989-gray-whale-inn-mystery
648,DCI Lorimer,15,15,"DCI Lorimer and Dr. Soloman Brightman, a psychologist and criminal profiler, in Glasgow, Scotland:",https://www.goodreads.com/series/93562-dci-lorimer
